,Id,Name,Location,FollowersCount,FriendsCount,RetweetCount,TweetCount,Score
970,99641362,Imran MujeebSiddiqui,"Toronto, Canada",1633.0,802.0,206,310,7803
979,715782048988979200,Mian Haseeb,Pakistan,135.0,127.0,927,104,7794
968,136717067,Satvinder,"Jhansi, U.P., India",3377.0,831.0,0,104,7789
974,2515384483,🌠ALIALi🇵🇰,Pakistan,1829.0,4717.0,0,413,7783
978,18636729,Rettiwt.Arsh,Canada,799.0,2437.0,0,619,7783
977,66448725,Genghis Khan 🕌🔨🔥,All over the world,1311.0,2547.0,0,516,7777
971,1431170408,Dr. Jamshaid,,3364.0,789.0,0,104,7763
972,230425391,Habib Khan,Time Traveller.... ,3361.0,3133.0,0,104,7757
975,1874247990,Sagar Solanki,,3355.0,220.0,0,104,7745
976,2924855702,رانا قلندر  🏏,Dubai,3354.0,102.0,0,104,7743
980,8596662,Rubab,Pakistan,3346.0,863.0,0,104,7727
981,2475549384,dilip,,3337.0,2753.0,0,104,7709
985,948850707213574144,Muhammad Mohsin,"Islamabad, Pakistan",244.0,1027.0,0,722,7703
982,137607498,CA Amit Jain,"India, Bharat, Hindustan ",3324.0,1187.0,0,104,7683
983,1014820471295135744,SOBUHI 💥,,2805.0,1984.0,0,207,7675
988,3058471682,Exodus of Kashmiri Hindus,,122.0,138.0,618,310,7665
986,95270120,أناسَيِّدْ,Earth but Striving for Jannah,2435.0,1517.0,103,207,7656
984,3625723872,Bhuwaneshwar Mishra,"Mumbai, India",3309.0,3157.0,0,104,7653
987,882278833927442432,WaQaS NyaZee,"Mianwali, Pakistan",3298.0,864.0,0,104,7631
990,3273794029,Irfan sofi,indian occupied kashmir,207.0,444.0,0,722,7629
989,60259832,Shalini Baisiwala | Travel & Books |🌍✈📚✏,Jammu*Delhi*Gurgaon,3283.0,2626.0,0,104,7601
991,4423119972,HARSH 🌠ykm🌠,प्रभु चरणों में ,1528.0,339.0,206,310,7593
992,95007481,akaMobbe ™,,3262.0,4569.0,0,104,7559
993,739946221096308736,Yusuf Hamisu Sani,"Katsina, Nigeria",2744.0,1969.0,0,207,7553
